,time,user_followers,Polarity,Subjectivity,BERT_SCORE,Vader_Comp,Vader_Pos,Vader_Neg,Vader_Neu,W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,W_BERT_Label,high,low,open,volumefrom,volumeto,close,Change,Change_Pct,Change_Cat
356,2022-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37242.79,35543.94,36829.37,46006.99,1671118834,37189.85,554.85,1.491939333,1
357,2022-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38021.06,36176.78,37189.85,38853.31,1439590446,37744.7,440.16,1.166150479,1
358,2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38728.29,37343.45,37744.7,24097.29,913551592.6,38184.86,-276.42,-0.7238994722,-1
359,2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38364.51,37377.53,38184.86,17354.8,658154943.2,37908.44,586.22,1.546410245,1
360,2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38769.81,36660.7,37908.44,34716.41,1310842543,38494.66,226.83,0.589250561,1
361,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39281.06,38033.98,38494.66,32504.03,1255765240,38721.49,-1803.3,-4.657103846,-1
362,2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38883.19,36650.8,38721.49,29144.5,1099971099,36918.19,410.45,1.111782566,1
363,2022-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37411.52,36270.47,36918.19,27541.76,1012101575,37328.64,4261.7,11.4167031,1
364,2022-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41737.83,37060.18,37328.64,50443.53,1978064223,41590.34,-172.13,-0.4138701439,-1
365,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41954.24,40963.47,41590.34,22244.16,923755180.1,41418.21,994.2,2.40039345,1
366,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42671.81,41152.05,41418.21,14391.14,600848486.1,42412.41,1448.66,3.415651221,1
367,2022-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44518.11,41689.77,42412.41,42425.21,1836978531,43861.07,219.05,0.4994178209,1
368,2022-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45483.65,42704.39,43861.07,44964.2,1972336801,44080.12,342.79,0.777652148,1
369,2022-02-09,10419868,80.60182525,207.8740805,511.7261357,130.7428,60.42,24.812,518.767,842270.246,121908.223,9455703.698,1828743.606,8941636.587,759900.7386,1705739.79,49382,44849.9,43167.21,44080.12,27461.26,1207982276,44422.91,-891.24,-2.006262084,-1
370,2022-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45837.02,43254.41,44422.91,45532.09,2027452817,43531.67,-1132.69,-2.601990689,-1
371,2022-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43950.88,42010.61,43531.67,39322.02,1694547021,42398.98,-159.97,-0.3772968123,-1
372,2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43041.72,41775.79,42398.98,17662.13,747480841.8,42239.01,-169.17,-0.400506546,-1
373,2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42773.35,41900.31,42239.01,12420.62,525779246,42069.84,482.44,1.146759769,1
374,2022-02-14,442407,18.38257937,43.84357504,109.3877234,24.5535,12.085,4.693,112.219,31317.567,22784.543,388263.294,28219.2455,364980.2562,25836.47403,66821.57629,8617,42857.15,41581.41,42069.84,27975.8,1183004345,42552.28,2024.05,4.756619387,1
375,2022-02-15,1576874,30.32621561,76.72708694,218.0075202,56.4822,21.396,6.506,224.094,122478.161,44934.14,1409461.501,267646.0687,1352456.607,259052.1041,494701.7056,50310,44771.91,42452.02,42552.28,27548.28,1210638166,44576.33,-679.99,-1.525450839,-1
376,2022-02-16,497115,8.669874339,22.12908309,65.86568815,14.8342,5.938,2.01,68.055,45684.88,8530.301,442910.879,156537.8277,436458.8199,156918.2061,187431.809,17669,44583.03,43361.09,44576.33,20597.85,905511530.5,43896.34,-3351.25,-7.634463374,-1
377,2022-02-17,3265821,68.4135315,171.8270081,430.8428287,109.6155,49.363,17.274,441.364,291193.444,223234.933,2752087.763,231385.785,2754581.447,297703.9284,1688615.058,40339,44187.88,40104.04,43896.34,39645.29,1669164372,40545.09,-550.43,-1.357574986,-1
378,2022-02-18,6524735,74.87500341,179.8311871,450.981434,103.9986,48.179,17.774,458.049,392180.118,101161.48,6031421.785,834979.0144,5814279.235,688331.5631,1362778.047,-234379,40980.65,39496.7,40545.09,32514.79,1308787737,39994.66,112.46,0.2811875385,1
379,2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40464.62,39664.71,39994.66,11674.81,467744109.7,40107.12,-1709.87,-4.263257995,-1
380,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40142.98,38019.97,40107.12,23028.66,890707081.7,38397.25,-1359.86,-3.54155571,-1
381,2022-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39495.33,36862.52,38397.25,47549.32,1819938919,37037.39,1230.36,3.321940342,1
382,2022-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38458.26,36371.68,37037.39,42886.39,1605539398,38267.75,-996.9,-2.605065623,-1
383,2022-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39260.51,37083.83,38267.75,31850.78,1218156855,37270.85,1082.77,2.905139003,1
384,2022-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39182.44,34349.58,37270.85,93348.71,3367553843,38353.62,886.15,2.31047291,1
385,2022-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39710.26,38043.51,38353.62,39454.29,1536575836,39239.77,-104.94,-0.2674327602,-1
386,2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40228.13,38605.65,39239.77,18649.99,732995982.5,39134.83,-1419.87,-3.628149145,-1
